Task,Model,bits,Hpp,RMSE
cubic,K-Splanifold (K=N=4),2,1.2141,0.4426
cubic,K-Splanifold (K=N=4),3,2.3547,0.1430
cubic,K-Splanifold (K=N=4),4,3.0069,0.0480
cubic,K-Splanifold (K=N=4),5,3.4252,0.0301
cubic,K-Splanifold (K=N=4),6,3.6466,0.0221
cubic,K-Splanifold (K=N=4),7,3.7500,0.0195
cubic,K-Splanifold (K=N=4),9,3.8269,0.0187
cubic,K-Splanifold (K=N=4),10,3.8269,0.0187
cubic,K-Splanifold (K=N=4),8,3.8462,0.0188
cubic,MLP (1x64),2,0.2558,0.4990
cubic,MLP (1x64),3,1.2266,0.1941
cubic,MLP (1x64),4,2.3004,0.1800
cubic,MLP (1x64),5,3.2562,0.0562
cubic,MLP (1x64),6,4.2139,0.0338
cubic,MLP (1x64),7,5.0292,0.0269
cubic,MLP (1x64),8,5.8288,0.0221
cubic,MLP (1x64),9,6.4548,0.0219
cubic,MLP (1x64),10,7.0200,0.0221
irregular,K-Splanifold (K=N=4),2,1.1124,1.1107
irregular,K-Splanifold (K=N=4),3,2.2440,0.5449
irregular,K-Splanifold (K=N=4),4,2.9110,0.4773
irregular,K-Splanifold (K=N=4),5,3.3483,0.4659
irregular,K-Splanifold (K=N=4),6,3.5744,0.4638
irregular,K-Splanifold (K=N=4),7,3.6658,0.4626
irregular,K-Splanifold (K=N=4),8,3.7692,0.4622
irregular,K-Splanifold (K=N=4),9,3.8077,0.4632
irregular,K-Splanifold (K=N=4),10,3.8077,0.4632
irregular,MLP (1x64),2,0.4615,3.2718
irregular,MLP (1x64),3,1.5032,1.2564
irregular,MLP (1x64),4,2.5543,0.5841
irregular,MLP (1x64),5,3.5997,0.5901
irregular,MLP (1x64),6,4.5070,0.4845
irregular,MLP (1x64),7,5.3255,0.4679
irregular,MLP (1x64),8,6.0239,0.4609
irregular,MLP (1x64),9,6.6315,0.4596
irregular,MLP (1x64),10,7.0582,0.4591
